predator	reference	river	year	region	season	FG1	FG2	FG3	FG4	NA	Total
salmon	McCormick D P and Harrison S C 2011	Blackwater open	2007	Ireland	Sep-Mar	0	0	57.1	0	0	57.1
salmon	McCormick D P and Harrison S C 2011	Caha closed	2007	Ireland	Apr-Aug	0	0	87.6	0	0	87.6
salmon	McCormick D P and Harrison S C 2011	Caha closed	2007	Ireland	Sep-Mar	0	0	64.7	0	0	64.7
salmon	McCormick D P and Harrison S C 2011	Caha open	2007	Ireland	Apr-Aug	0	0	85.6	0	0	85.6
salmon	McCormick D P and Harrison S C 2011	Caha open	2007	Ireland	Sep-Mar	0	0	86.9	0	0	86.9
salmon	McCormick D P and Harrison S C 2011	Glashagieragh closed	2007	Ireland	Apr-Aug	0	0	92.3	0	0	92.3
salmon	McCormick D P and Harrison S C 2011	Glashagieragh closed	2007	Ireland	Sep-Mar	0	0	58.4	0	0	58.4
salmon	McCormick D P and Harrison S C 2011	Glashagieragh open	2007	Ireland	Apr-Aug	0	0	93.8	0	0	93.8
salmon	McCormick D P and Harrison S C 2011	Glashagieragh open	2007	Ireland	Sep-Mar	0	0	63.7	0	0	63.7
salmon	McCormick D P and Harrison S C 2011	Ihernagh closed	2007	Ireland	Apr-Aug	0	0	94.1	0	0	94.1
salmon	McCormick D P and Harrison S C 2011	Ihernagh open	2007	Ireland	Apr-Aug	0	0	96.3	0	0	96.3
salmon	McCormick D P and Harrison S C 2011	Owennagearagh closed	2007	Ireland	Apr-Aug	0	0	77.7	0	0	77.7
salmon	McCormick D P and Harrison S C 2011	Owennagearagh closed	2007	Ireland	Sep-Mar	0	0	83.3	0	0	83.3
salmon	McCormick D P and Harrison S C 2011	Owennagearagh open	2007	Ireland	Apr-Aug	0	0	96.7	0	0	96.7
salmon	McCormick D P and Harrison S C 2011	Owennagearagh open	2007	Ireland	Sep-Mar	0	0	60	0	0	60
salmon	Perkins et al 	Afon Berwyn	2012	Wales	Apr-Aug	0	2.6	97.4	0	0	100
salmon	Perkins et al 	Ceirw	2012	Wales	Apr-Aug	0	12.5	87.5	0	0	100
salmon	Perkins et al 	Marteg	2012	Wales	Apr-Aug	0	4.054054054	95.94594596	0	0	100
salmon	Perkins et al 	Upper Duhonw	2012	Wales	Apr-Aug	0	0	100	0	0	100
salmon	Sanchez-Hernandez J 2013	Landro	2011	Spain	Apr-Aug	0	7	92.4	0.6	0	100
salmon	Soong 1938	East Mill Fordingbridge	NA	England	Apr-Aug	16.04	1.3	63	0	0	80.34
salmon	Thomas 1962	Teify	NA	Wales	Apr-Aug	2.78	15.54	80.01	0.3	0	98.63
salmon	Thomas 1962	Teify	NA	Wales	Sep-Mar	2	19.01666667	71.80833333	0.7	0.033333333	93.55833333
trout	Andersen et al 1992	Grib Forest Northern Zealand	NA	Denmark	Apr-Aug	56	0	32.5	0	0	88.5
trout	Bailey 1961	Yarty	1961-1962	England	annual	18.17	2.53	50.7	0	1.985	73.385
trout	Crespin De Billy 2002	Neste dAure - regulated	1998	France	Apr-Aug	0	0	31.4	0.15	0	31.55
trout	Crespin De Billy 2002	Neste dAure - unregulated	1998	France	Apr-Aug	0	0	15.25	0.2	0	15.45
trout	Dahl 1998	Klingavalsan creek	1996	Sweden	Apr-Aug	6.3	0	39.7	0	0	46
trout	Dineen et al 2007	Closed Canopy - Addergoole Beltra Crumpaun Glenisland	2002	Ireland	annual	0	0	32.06666667	0	0	32.06666667
trout	Dineen et al 2007	Closed Canopy - Addergoole Beltra Crumpaun Glenisland	2002	Ireland	Apr-Aug	0	0	43.1	0	0	43.1
trout	Dineen et al 2007	Closed Canopy - Addergoole Beltra Crumpaun Glenisland	2002	Ireland	Sep-Mar	0	0	9.9	0	0	9.9
trout	Dineen et al 2007	Grassland - Lodge  Srahrevagh	2002	Ireland	annual	0	0	30.2	0	0	30.2
trout	Dineen et al 2007	Grassland - Lodge  Srahrevagh	2002	Ireland	Apr-Aug	0	0	39.3	0	0	39.3
trout	Dineen et al 2007	Grassland - Lodge  Srahrevagh	2002	Ireland	Sep-Mar	0	0	13.76666667	0	0	13.76666667
trout	Dineen et al 2007	Open Canopy - Boghadoon  Skerdagh	2002	Ireland	annual	0	0	28.4	0	0	28.4
trout	Dineen et al 2007	Open Canopy - Boghadoon  Skerdagh	2002	Ireland	Apr-Aug	0	0	39.22	0	0	39.22
trout	Dineen et al 2007	Open Canopy - Boghadoon  Skerdagh	2002	Ireland	Sep-Mar	0	0	7.666666667	0	0	7.666666667
trout	Egglishaw 1967	Almond	NA	Scotland	annual	1.5	0.25	83	0	0	84.75
trout	Egglishaw 1967	Almond	NA	Scotland	Apr-Aug	1.333333333	0.333333333	79.66666667	0	0	81.33333333
trout	Egglishaw 1967	Shelligan	NA	Scotland	annual	7	1.666666667	67.08333334	0	0	75.75000001
trout	Egglishaw 1967	Shelligan	NA	Scotland	Apr-Aug	4.666666667	1.333333333	78	0	0	84
trout	Egglishaw 1967	Shelligan	NA	Scotland	Sep-Mar	0	3	49	0	0	52
trout	Elliot 1967	Walla Brook	1962-1963	England	annual	0	6.771670325	56.00979032	1.925173995	0	64.70663464
