number	order	family	genus	drift_index	calcium	flow_ 0-5	flow_ 5-2	flow_ 25-	flow_ g75	f_exp_prot	f_exp_expo	shape_cyli	shape_sphe	shape_coni	shape_flat	shape_stre	drift_wc_none	drift_wc_weak	drift_wc_medi	drift_wc_high	drift_ws_none	drift_ws_weak	drift_ws_medi	drift_ws_high	diel_b_t-li	diel_b_d-li	diel_b_dawn	diel_b_noct	diel_b_none	traj_osci	traj_lin	traj_rand	traj_none	size_l.25	size_> .5	size_1-2 	size_2-4 	size_g4-8	aggreg_high	aggreg_weak	conceal_sold	conceal_patt	conceal_var-	conceal_case	conceal_net	flex_none	flex_weak	flex_high	locom_surf	locom_full	locom_craw	locom_burr	locom_inte	locom_temp	locom_perm	subs_flag	subs_grav	subs_sand	subs_silt	subs_macr	subs_micr	subs_twig	subs_orga	subs_mud
73	Plecoptera	Nemouridae	Protonemura	57.6	low	0	2	2	2	3	1	5	0	0	0	0	0	2	1	0	0	1	0	0	4	3	1	3	0	0	3	0	0	0	3	1	0	0	3	0	3	0	0	0	0	3	1	0	0	0	5	0	0	0	0	4	0	1	0	4	0	1	2	0
74	Trichoptera	Psychomyiidae	Psychomyia	20	low	1	3	2	1	0	3	5	0	0	0	0	3	2	0	0	3	1	0	0	0	0	2	1	0	0	3	0	1	0.5	3	0	0	0	2	1	3	1	0	0	3	0	0	3	0	0	2	0	0	3	0.5	4	0.5	0.5	0	1	0	2.5	0	0
75	Trichoptera	Psychomyiidae	Psychomyiidae	20	low	1	3	1.25	0.5	0	3	5	0	0	0	0	3	2	0	0	3	1	0	0	0	0	2	1	0	0	3	0	1	0.5	3	0.5	0	0	2	1	3	1	0	0	3	0	0	3	0	0	2	0	0	3	0.75	4	0.75	0.5	0	1	0	2.5	0.25	0
76	Gastropoda	Lymnaeidae	Radix	13	high	3	3	0	0	3	0	0	2	3	0	0	0	3	1	0	3	1	0	0	0	0	0	0	3	0	1	0	3	0	0	1	3	0	3	1	3	0	0	0	0	3	0	0	1	0	3	0	0	0	0	3	1	1	1	5	1	0	0	3
77	Ephemeroptera	Heptageniidae	Rhithrogena	63.6	low	0	0	2	3	0	3	0	0	0	3	2	0	1	2	0	0	1	3	1	2	1	5	3	0	1	1	0	2	0	1	3	0	0	3	2	0	3	2	0	0	0	3	0	0	1	5	0	1	0	0	5	2	1	0	0	0	0	1	0
78	Trichoptera	Rhyacophilidae	Rhyacophila	52.8	low	0	1	3	2	0.666666667	3	5	0	0	0	0	0	3	0.333333333	0	0.666666667	2.333333333	0.333333333	0	2	1	1.666666667	2.666666667	0	0	3	1	0	0	1	3	2	0	1.333333333	1.666666667	3	1	0	0	0	0	0	3	0	2	3	0	0	1	0	5	1	1	0	1	0	2	1	0
79	Coleoptera	Scirtidae	Scirtidae	NA	low	2.333333333	0.333333333	0.666666667	0.333333333	3	0	3	0	0	0	0	0	3	1	0	0	3	1	0	NA	NA	NA	NA	NA	0	3	0	0	3	0	0	0	0	2	1	3	1	0	0	0	0	3	0	0	0	5	0	0	0	0	0.666666667	1	0	0	2.666666667	1	0	2.333333333	2
80	Trichoptera	Sericostomatidae	Sericostoma	NA	low	0	3	2	1	2	1	5	0	0	0	0	0	3	0	0	1	1	0	0	2	1	3	2	0	0	3	0	0	0	0	3	0	0	1	3	3	0	0	3	0	3	1	0	0	0	4	1	1	0	0	3	2	2	2	2	0	4	5	0
81	Ephemeroptera	Ephemerellidae	Serratella	61.2	low	0	3	3	1	3	1	3	0	0	1	0	0	2	2	0	0	3	0	0	3	3	4	1	0	1	1	0	2	0	3	0	0	0	3	2	3	0	1	0	0	0	3	0	0	1	5	0	0	0	0	3	2	1	1	5	0	4	2	1
82	Megaloptera	Sialidae	Sialis	20	low	3	3	2	0	3	0	5	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	3	2	1	0	0	0	0	3	2	0	1	1	3	0	0	0	0	0	3	1	0	1	4	3	0	0	0	1	3	3	3	1	0	0	2	2
